import time: self [us] | cumulative | imported package
import time:       490 |        490 |                   numpy._core.records
import time:     10393 |      10393 |                   numpy._core._add_newdocs
import time:      1140 |       1140 |                   numpy._core._add_newdocs_scalars
import time:       200 |        200 |                   numpy._core._dtype_ctypes
import time:      1002 |       1002 |                   numpy._core._internal
import time:       306 |        306 |                   numpy._pytesttester
import time:      3250 |      42104 |                 numpy._core
import time:       213 |      42317 |               numpy._core._multiarray_umath
import time:       678 |      42994 |             numpy.__config__
import time:       404 |        404 |                               numpy._typing._nbit_base
import time:       450 |        450 |                               numpy._typing._nested_sequence
import time:       204 |        204 |                               numpy._typing._shape
import time:      9146 |      10202 |                             numpy._typing._array_like
import time:      3365 |       3365 |                             numpy._typing._char_codes
import time:      7342 |       7342 |                             numpy._typing._dtype_like
import time:       245 |        245 |                             numpy._typing._nbit
import time:       193 |        193 |                             numpy._typing._scalars
import time:       143 |        143 |                             numpy._typing._ufunc
import time:      1333 |      22818 |                           numpy._typing
import time:       354 |        354 |                             numpy.lib._stride_tricks_impl
import time:       513 |        867 |                           numpy.lib._twodim_base_impl
import time:       279 |        279 |                             numpy.lib._array_utils_impl
import time:       243 |        521 |                           numpy.lib.array_utils
import time:       512 |        512 |                           numpy.linalg._umath_linalg
import time:      3005 |      27721 |                         numpy.linalg._linalg
import time:       405 |      28126 |                       numpy.linalg
import time:       593 |      28719 |                     numpy.matrixlib.defmatrix
import time:       335 |      29053 |                   numpy.matrixlib
import time:       645 |        645 |                     numpy.lib._histograms_impl
import time:      2217 |       2861 |                   numpy.lib._function_base_impl
import time:      1318 |      33231 |                 numpy.lib._index_tricks_impl
import time:       600 |      33831 |               numpy.lib._arraypad_impl
import time:      1173 |       1173 |               numpy.lib._arraysetops_impl
import time:       229 |        229 |               numpy.lib._arrayterator_impl
import time:       847 |        847 |               numpy.lib._nanfunctions_impl
import time:       665 |        665 |                     numpy.lib._utils_impl
import time:       641 |       1305 |                   numpy.lib._format_impl
import time:       341 |       1646 |                 numpy.lib.format
import time:       387 |        387 |                 numpy.lib._datasource
import time:       930 |        930 |                 numpy.lib._iotools
import time:      1417 |       4379 |               numpy.lib._npyio_impl
import time:       352 |        352 |                   numpy.lib._ufunclike_impl
import time:       857 |       1208 |                 numpy.lib._type_check_impl
import time:       939 |       2147 |               numpy.lib._polynomial_impl
import time:       581 |        581 |               numpy.lib._shape_base_impl
import time:       203 |        203 |               numpy.lib._version
import time:       157 |        157 |               numpy.lib.introspect
import time:       261 |        261 |               numpy.lib.mixins
import time:       139 |        139 |               numpy.lib.npyio
import time:       365 |        365 |                 numpy.lib._scimath_impl
import time:       288 |        652 |               numpy.lib.scimath
import time:       128 |        128 |               numpy.lib.stride_tricks
import time:      2846 |      47566 |             numpy.lib
import time:       414 |        414 |             numpy._array_api_info
import time:      2724 |      95338 |           numpy
import time:      3961 |       3961 |           torch._opaque_base
import time:    285276 |     384574 |         torch._C
import time:       316 |        316 |           copy
import time:       216 |        216 |           torch._namedtensor_internals
import time:      2579 |       2579 |           torch.overrides
import time:      2053 |       5162 |         torch._tensor
import time:       689 |        689 |           torch.types
import time:      2803 |       3492 |         torch.storage
import time:       484 |        484 |           torch.amp.autocast_mode
import time:       638 |        638 |           torch.amp.grad_scaler
import time:       264 |       1385 |         torch.amp
import time:       258 |        258 |         torch.random
import time:        70 |         70 |               _heapq
import time:       667 |        737 |             heapq
import time:      2078 |       2814 |           difflib
import time:       105 |        105 |             pwd
import time:        77 |         77 |             grp
import time:      2385 |       2566 |           tarfile
import time:       472 |        472 |           torch._weights_only_unpickler
import time:       527 |        527 |           torch._sources
import time:       301 |        301 |           mmap
import time:      3970 |      10648 |         torch.serialization
import time:      1240 |       1240 |           dataclasses
import time:      2156 |       3396 |         torch._tensor_str
import time:       315 |        315 |           torch.cuda._device_limits
import time:       263 |        263 |           torch.cuda.gds
import time:       180 |        180 |               cuda
import time:       481 |        481 |                 cuda.bindings.utils._nvvm_utils
import time:       362 |        362 |                 cuda.bindings.utils._ptx_utils
import time:       148 |        148 |                 cuda.bindings.utils._version_check
import time:       829 |       1818 |               cuda.bindings.utils
import time:       141 |        141 |               cuda.bindings._version
import time:       952 |       3090 |             cuda.bindings
import time:       212 |        212 |                     cuda.bindings._bindings
import time:      1587 |       1798 |                   cuda.bindings._bindings.cydriver
import time:      2183 |       3980 |                 cuda.bindings.cydriver
import time:       157 |        157 |                   cuda.bindings._internal
import time:       672 |        829 |                 cuda.bindings._internal._fast_enum
import time:     15826 |      20634 |               cuda.bindings.driver
import time:      2844 |       2844 |                   cuda.bindings._bindings.cyruntime_ptds
import time:      1184 |       4027 |                 cuda.bindings._bindings.cyruntime
import time:       174 |        174 |                     cuda.pathfinder._binaries
import time:       155 |        155 |                     cuda.pathfinder._binaries.supported_nvidia_binaries
import time:       122 |        122 |                       cuda.pathfinder._utils
import time:       964 |       1085 |                     cuda.pathfinder._utils.env_vars
import time:       197 |        197 |                     cuda.pathfinder._utils.find_sub_dirs
import time:       164 |        164 |                     cuda.pathfinder._utils.platform_aware
import time:      1517 |       3290 |                   cuda.pathfinder._binaries.find_nvidia_binary_utility
import time:       114 |        114 |                     cuda.pathfinder._dynamic_libs
import time:      1713 |       1826 |                   cuda.pathfinder._dynamic_libs.load_dl_common
import time:      3529 |       3529 |                       cuda.pathfinder._dynamic_libs.descriptor_catalog
import time:       467 |       3995 |                     cuda.pathfinder._dynamic_libs.lib_descriptor
import time:       331 |        331 |                         ctypes.util
import time:      7438 |       7769 |                       cuda.pathfinder._dynamic_libs.load_dl_linux
import time:      1642 |       9411 |                     cuda.pathfinder._dynamic_libs.platform_loader
