import time: self [us] | cumulative | imported package
import time:       253 |      16863 |                       torch.fx._lazy_graph_module
import time:      1012 |       1012 |                         torch.fx.traceback
import time:       541 |        541 |                               pkgutil
import time:       239 |        239 |                               torch._logging.structured
import time:       525 |        525 |                                       asyncio.constants
import time:       249 |        249 |                                       asyncio.coroutines
import time:       138 |        138 |                                         asyncio.format_helpers
import time:       132 |        132 |                                           asyncio.base_futures
import time:       212 |        212 |                                           asyncio.exceptions
import time:       146 |        146 |                                           asyncio.base_tasks
import time:       424 |        912 |                                         _asyncio
import time:       728 |       1776 |                                       asyncio.events
import time:       242 |        242 |                                       asyncio.futures
import time:       194 |        194 |                                       asyncio.protocols
import time:       557 |        557 |                                         asyncio.transports
import time:       136 |        136 |                                         asyncio.log
import time:       727 |       1419 |                                       asyncio.sslproto
import time:       106 |        106 |                                           asyncio.mixins
import time:       508 |        614 |                                         asyncio.locks
import time:       262 |        262 |                                           asyncio.queues
import time:       422 |        422 |                                           asyncio.timeouts
import time:       772 |       1456 |                                         asyncio.tasks
import time:       239 |       2307 |                                       asyncio.staggered
import time:       167 |        167 |                                       asyncio.trsock
import time:      5044 |      11920 |                                     asyncio.base_events
import time:       366 |        366 |                                     asyncio.runners
import time:       426 |        426 |                                     asyncio.streams
import time:       237 |        237 |                                     asyncio.subprocess
import time:       173 |        173 |                                     asyncio.taskgroups
import time:       131 |        131 |                                     asyncio.threads
import time:       366 |        366 |                                       asyncio.base_subprocess
import time:       656 |        656 |                                       asyncio.selector_events
import time:      1123 |       2144 |                                     asyncio.unix_events
import time:       394 |      15789 |                                   asyncio
import time:      1699 |      17487 |                                 unittest.mock
import time:       611 |        611 |                                 torch.utils._ordered_set
import time:       506 |        506 |                                 torch.utils._traceback
import time:       397 |        397 |                                 torch.utils.weak
import time:      9422 |      28421 |                               torch._guards
import time:      2173 |      31372 |                             torch._logging._internal
import time:       474 |      31846 |                           torch._logging._registrations
import time:       193 |      32039 |                         torch._logging
import time:       978 |      34028 |                       torch.fx.proxy
import time:      1432 |      52321 |                     torch.fx._symbolic_trace
import time:       148 |        148 |                       torch.fx.config
import time:       947 |       1095 |                     torch.fx.interpreter
import time:      1106 |       1106 |                     torch.fx.subgraph_rewriter
import time:       248 |      55249 |                   torch.fx
import time:        36 |      55285 |                 torch.fx.experimental
import time:       246 |      55531 |               torch.fx.experimental._constant_symnode
import time:       263 |      55794 |             torch.nested._internal.nested_int
import time:       994 |      56943 |           torch.nested._internal.nested_tensor
import time:       292 |      57234 |         torch.nested
import time:       542 |        542 |             torch.optim.optimizer
import time:      1028 |       1569 |           torch.optim.lr_scheduler
import time:       635 |        635 |           torch.optim.swa_utils
import time:       429 |        429 |           torch.optim._adafactor
import time:       345 |        345 |           torch.optim._muon
import time:       347 |        347 |           torch.optim.adadelta
import time:       322 |        322 |           torch.optim.adagrad
import time:       849 |        849 |           torch.optim.adam
import time:       441 |        441 |           torch.optim.adamax
import time:       267 |        267 |           torch.optim.adamw
import time:       332 |        332 |           torch.optim.asgd
import time:       310 |        310 |           torch.optim.lbfgs
import time:       336 |        336 |           torch.optim.nadam
import time:       306 |        306 |           torch.optim.radam
import time:       282 |        282 |           torch.optim.rmsprop
import time:       418 |        418 |           torch.optim.rprop
import time:       249 |        249 |           torch.optim.sgd
import time:       137 |        137 |             torch.optim._functional
import time:       214 |        350 |           torch.optim.sparse_adam
import time:       497 |       8273 |         torch.optim
import time:       429 |        429 |             gzip
import time:      1978 |       1978 |               torch.profiler._utils
import time:      3506 |       5484 |             torch.profiler._memory_profiler
import time:      1128 |       7040 |           torch.profiler.profiler
import time:       237 |        237 |           torch.profiler.itt
import time:       249 |       7525 |         torch.profiler
import time:       275 |        275 |         torch.special
import time:       186 |        186 |           torch.xpu._utils
import time:       363 |        363 |           torch.xpu.graphs
import time:       207 |        207 |           torch.xpu.streams
import time:      1007 |       1007 |           torch.xpu.memory
import time:       234 |        234 |           torch.xpu.random
import time:       540 |       2534 |         torch.xpu
import time:       327 |        327 |             torch.signal.windows.windows
import time:       169 |        496 |           torch.signal.windows
import time:       145 |        640 |         torch.signal
import time:       124 |        124 |         torch.ao
import time:       153 |        153 |             torch.ao.nn
import time:       384 |        384 |               torch.ao.nn.intrinsic.modules.fused
import time:       157 |        540 |             torch.ao.nn.intrinsic.modules
import time:       200 |        892 |           torch.ao.nn.intrinsic
import time:       299 |        299 |             torch.nn.intrinsic.modules.fused
import time:       310 |        609 |           torch.nn.intrinsic.modules
import time:       405 |        405 |                           torch.ao.nn.qat.modules.conv
import time:       201 |        201 |                           torch.ao.nn.qat.modules.embedding_ops
import time:       160 |        160 |                           torch.ao.nn.qat.modules.linear
import time:       180 |        944 |                         torch.ao.nn.qat.modules
import time:       113 |       1057 |                       torch.ao.nn.qat
import time:       747 |       1804 |                     torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       258 |        258 |                     torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       175 |        175 |                     torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       189 |       2424 |                   torch.ao.nn.intrinsic.qat.modules
import time:       152 |       2576 |                 torch.ao.nn.intrinsic.qat
import time:       140 |       2715 |               torch.nn.intrinsic.qat.modules.conv_fused
import time:       470 |        470 |               torch.nn.intrinsic.qat.modules.linear_fused
import time:       124 |        124 |               torch.nn.intrinsic.qat.modules.linear_relu
import time:       186 |       3494 |             torch.nn.intrinsic.qat.modules
import time:       338 |       3831 |           torch.nn.intrinsic.qat
import time:       711 |        711 |                                       torch.ao.nn.quantizable.modules.activation
import time:       516 |        516 |                                       torch.ao.nn.quantizable.modules.rnn
import time:       272 |       1498 |                                     torch.ao.nn.quantizable.modules
import time:       221 |       1718 |                                   torch.ao.nn.quantizable
import time:       552 |        552 |                                   torch.ao.nn.quantized.modules.activation
import time:       307 |        307 |                                   torch.ao.nn.quantized.modules.batchnorm
import time:       191 |        191 |                                     torch.ao.nn.quantized.modules.utils
import time:       996 |       1187 |                                   torch.ao.nn.quantized.modules.conv
import time:       384 |        384 |                                   torch.ao.nn.quantized.modules.dropout
import time:       616 |        616 |                                   torch.ao.nn.quantized.modules.embedding_ops
import time:       474 |        474 |                                   torch.ao.nn.quantized.modules.functional_modules
import time:       479 |        479 |                                   torch.ao.nn.quantized.modules.linear
import time:       346 |        346 |                                   torch.ao.nn.quantized.modules.normalization
import time:       268 |        268 |                                   torch.ao.nn.quantized.modules.rnn
import time:       418 |       6743 |                                 torch.ao.nn.quantized.modules
import time:        43 |       6785 |                               torch.ao.nn.quantized.modules.utils
import time:       275 |       7060 |                             torch.ao.nn.quantized.functional
import time:       158 |       7218 |                           torch.ao.nn.quantized
import time:       245 |       7463 |                         torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       239 |        239 |                         torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       291 |        291 |                         torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       225 |        225 |                         torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       184 |       8401 |                       torch.ao.nn.intrinsic.quantized.modules
import time:       112 |       8513 |                     torch.ao.nn.intrinsic.quantized
import time:       662 |        662 |                             torch.ao.nn.quantized.dynamic.modules.conv
import time:       219 |        219 |                             torch.ao.nn.quantized.dynamic.modules.linear
import time:       659 |        659 |                             torch.ao.nn.quantized.dynamic.modules.rnn
import time:       232 |       1770 |                           torch.ao.nn.quantized.dynamic.modules
import time:       246 |       2015 |                         torch.ao.nn.quantized.dynamic
import time:       490 |       2505 |                       torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       167 |       2671 |                     torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       148 |      11331 |                   torch.ao.nn.intrinsic.quantized.dynamic
import time:       119 |      11450 |                 torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       162 |      11611 |               torch.nn.intrinsic.quantized.dynamic.modules
import time:       156 |      11767 |             torch.nn.intrinsic.quantized.dynamic
import time:       187 |        187 |               torch.nn.intrinsic.quantized.modules.bn_relu
import time:       178 |        178 |               torch.nn.intrinsic.quantized.modules.conv_relu
import time:       241 |        241 |               torch.nn.intrinsic.quantized.modules.linear_relu
import time:       227 |        831 |             torch.nn.intrinsic.quantized.modules
import time:       199 |      12796 |           torch.nn.intrinsic.quantized
import time:       194 |      18319 |         torch.nn.intrinsic
import time:       259 |        259 |                         torch.ao.nn.qat.dynamic.modules.linear
import time:       137 |        395 |                       torch.ao.nn.qat.dynamic.modules
import time:       132 |        527 |                     torch.ao.nn.qat.dynamic
import time:        27 |        554 |                   torch.ao.nn.qat.dynamic.modules
import time:        35 |        588 |                 torch.ao.nn.qat.dynamic.modules.linear
import time:       146 |        734 |               torch.nn.qat.dynamic.modules.linear
import time:       211 |        944 |             torch.nn.qat.dynamic.modules
import time:       155 |       1099 |           torch.nn.qat.dynamic
import time:       110 |        110 |             torch.nn.qat.modules.conv
import time:        98 |         98 |             torch.nn.qat.modules.embedding_ops
import time:        94 |         94 |             torch.nn.qat.modules.linear
import time:       221 |        521 |           torch.nn.qat.modules
import time:       268 |       1887 |         torch.nn.qat
import time:       120 |        120 |           torch.nn.quantizable.modules
import time:       122 |        242 |         torch.nn.quantizable
import time:       128 |        128 |           torch.nn.quantized.dynamic
import time:       355 |        355 |           torch.nn.quantized.functional
import time:       177 |        177 |           torch.nn.quantized.modules
import time:       280 |        938 |         torch.nn.quantized
import time:       106 |        106 |         torch._size_docs
import time:       127 |        127 |         torch._storage_docs
import time:       892 |        892 |         torch._tensor_docs
import time:       267 |        267 |                       torch.ao.quantization.quant_type
import time:       434 |        701 |                     torch.ao.quantization.utils
import time:      3966 |       4666 |                   torch.ao.quantization.observer
import time:       769 |       5435 |                 torch.ao.quantization.fake_quantize
import time:       265 |        265 |                   torch.ao.quantization.fuser_method_mappings
import time:       293 |        558 |                 torch.ao.quantization.fuse_modules
import time:       753 |        753 |                 torch.ao.quantization.qconfig
import time:       264 |        264 |                 torch.ao.quantization.qconfig_mapping
import time:       211 |        211 |                         torch.ao.nn.quantized.reference.modules.utils
import time:       424 |        634 |                       torch.ao.nn.quantized.reference.modules.conv
import time:       359 |        359 |                       torch.ao.nn.quantized.reference.modules.linear
import time:       701 |        701 |                       torch.ao.nn.quantized.reference.modules.rnn
import time:       226 |        226 |                       torch.ao.nn.quantized.reference.modules.sparse
import time:       215 |       2132 |                     torch.ao.nn.quantized.reference.modules
import time:       152 |       2283 |                   torch.ao.nn.quantized.reference
import time:       251 |        251 |                           torch.ao.nn.sparse.quantized.linear
import time:       208 |        208 |                           torch.ao.nn.sparse.quantized.utils
import time:       265 |        723 |                         torch.ao.nn.sparse.quantized.dynamic.linear
import time:       152 |        875 |                       torch.ao.nn.sparse.quantized.dynamic
import time:       184 |       1058 |                     torch.ao.nn.sparse.quantized
import time:       160 |       1217 |                   torch.ao.nn.sparse
import time:       218 |        218 |                   torch.ao.quantization.stubs
import time:      1083 |       4800 |                 torch.ao.quantization.quantization_mappings
import time:       540 |        540 |                 torch.ao.quantization.quantize
import time:       543 |        543 |                 torch.ao.quantization.quantize_jit
import time:       517 |      13407 |               torch.ao.quantization
import time:        38 |      13444 |             torch.ao.quantization.fake_quantize
import time:       149 |      13592 |           torch.quantization.fake_quantize
import time:       129 |        129 |           torch.quantization.fuse_modules
import time:       119 |        119 |           torch.quantization.fuser_method_mappings
import time:       120 |        120 |           torch.quantization.observer
import time:       110 |        110 |           torch.quantization.qconfig
import time:       114 |        114 |           torch.quantization.quant_type
import time:       100 |        100 |           torch.quantization.quantization_mappings
import time:       123 |        123 |           torch.quantization.quantize
import time:       112 |        112 |           torch.quantization.quantize_jit
import time:        87 |         87 |           torch.quantization.stubs
import time:       309 |      14908 |         torch.quantization
import time:       356 |        356 |         torch.quasirandom
import time:       146 |        146 |         torch.multiprocessing._atfork
import time:       475 |        475 |         torch._lobpcg
import time:       129 |        129 |             torch.masked._docs
import time:       345 |        345 |                   torch.masked.maskedtensor.core
import time:      3099 |       3443 |                 torch.masked.maskedtensor.binary
import time:       974 |        974 |                 torch.masked.maskedtensor.passthrough
import time:       120 |        120 |                   torch.masked.maskedtensor.creation
import time:      1278 |       1398 |                 torch.masked.maskedtensor.reductions
import time:      3264 |       3264 |                 torch.masked.maskedtensor.unary
import time:       182 |       9259 |               torch.masked.maskedtensor
import time:        29 |       9287 |             torch.masked.maskedtensor.core
import time:       669 |      10085 |           torch.masked._ops
import time:       216 |      10301 |         torch.masked
import time:       497 |        497 |         torch.utils.dlpack
import time:       152 |        152 |                       torch._dispatch
import time:       921 |       1073 |                     torch._dispatch.python
import time:      5342 |       5342 |                           torch._library.fake_profile
import time:       131 |        131 |                             torch.utils._mode_utils
import time:      6696 |       6826 |                           torch._subclasses.meta_utils
import time:       240 |        240 |                           torch.utils._stats
import time:      1771 |       1771 |                             torch.fx.experimental.sym_node
import time:      3421 |       5192 |                           torch._subclasses._fake_tensor_utils
import time:       157 |        157 |                             torch._custom_op
import time:      5300 |       5456 |                           torch._subclasses.fake_impls
import time:      7844 |      30897 |                         torch._subclasses.fake_tensor
import time:       378 |        378 |                         torch._subclasses.fake_utils
import time:       199 |      31473 |                       torch._subclasses
import time:        35 |      31507 |                     torch._subclasses.meta_utils
import time:       625 |      33205 |                   torch.fx.passes.shape_prop
import time:       110 |        110 |                   pydot
import time:       469 |      33783 |                 torch.fx.passes.graph_drawer
import time:       763 |        763 |                 torch.fx.passes.graph_manipulation
import time:      1068 |       1068 |                         torch.fx.passes.utils.matcher_utils
import time:       314 |       1381 |                       torch.fx.passes.utils.common
import time:       169 |       1550 |                     torch.fx.passes.utils
import time:       865 |        865 |                     torch.fx.passes.tools_common
import time:      1062 |       3475 |                   torch.fx.passes.split_utils
import time:      1022 |       4497 |                 torch.fx.passes.net_min_base
import time:       529 |        529 |                 torch.fx.passes.operator_support
import time:       232 |        232 |                 torch.fx.passes.param_fetch
import time:       297 |        297 |                 torch.fx.passes.regional_inductor
import time:       895 |        895 |                 torch.fx.passes.reinplace
import time:       137 |        137 |                   torch.fx._utils
import time:      1190 |       1190 |                     torch._subclasses.functional_tensor
import time:       394 |        394 |                     torch.utils._thunk
import time:       214 |        214 |                     torch.fx.experimental._backward_state
import time:      2889 |       4686 |                   torch.fx.experimental.proxy_tensor
import time:       493 |       5316 |                 torch.fx.passes.runtime_assert
import time:       418 |        418 |                 torch.fx.passes.split_module
import time:      1625 |       1625 |                 torch.fx.passes.splitter_base
import time:       544 |      48894 |               torch.fx.passes
import time:       325 |        325 |                 torch.fx.passes.infra.pass_base
import time:       359 |        684 |               torch.fx.passes.infra.pass_manager
import time:       223 |      49800 |             torch.fx.passes.infra
import time:        31 |      49830 |           torch.fx.passes.infra.pass_base
import time:       504 |        504 |           torch.export.custom_ops
import time:       254 |        254 |           torch.export._state_dict_utils
import time:       156 |        156 |                 torch.export._tree_utils
import time:      4785 |       4785 |                 torch.export.graph_signature
import time:       201 |        201 |                       torch._custom_op.autograd
import time:       939 |       1139 |                     torch._custom_op.impl
import time:       157 |       1296 |                   torch._custom_ops
import time:       756 |        756 |                   torch._export.utils
import time:      1342 |       1342 |                               torch._higher_order_ops.schema
import time:      1288 |       2630 |                             torch._higher_order_ops.utils
import time:      2071 |       4700 |                           torch._higher_order_ops.auto_functionalize
import time:       357 |       5056 |                         torch._higher_order_ops.base_hop
import time:       995 |       6051 |                       torch._higher_order_ops._invoke_quant
import time:       405 |        405 |                       torch._higher_order_ops.aoti_call_delegate
import time:       688 |        688 |                       torch._higher_order_ops.associative_scan
import time:       628 |        628 |                       torch._higher_order_ops.cond
import time:      2243 |       2243 |                         torch._higher_order_ops.invoke_leaf_function
import time:       397 |        397 |                         torch._higher_order_ops.print
import time:       128 |        128 |                             torch._functorch._aot_autograd
import time:       674 |        801 |                           torch._functorch._aot_autograd.utils
import time:       426 |       1227 |                         torch._higher_order_ops.torchbind
import time:       870 |       4736 |                       torch._higher_order_ops.effects
import time:       352 |        352 |                       torch._higher_order_ops.executorch_call_delegate
import time:      1148 |       1148 |                       torch._higher_order_ops.flat_apply
import time:       109 |        109 |                             torch.testing._internal
import time:       510 |        618 |                           torch.testing._internal.logging_tensor
import time:       919 |       1536 |                         torch.utils.checkpoint
import time:      1166 |       2702 |                       torch._higher_order_ops.flex_attention
import time:       266 |        266 |                       torch._higher_order_ops.foreach_map
import time:       316 |        316 |                       torch._higher_order_ops.hints_wrap
import time:       473 |        473 |                       torch._higher_order_ops.inline_asm_elementwise
import time:       323 |        323 |                             torch.utils._debug_mode._utils
import time:       718 |       1040 |                           torch.utils._debug_mode._calls
import time:     29347 |      29347 |                           torch.utils._debug_mode._mode
import time:       206 |      30592 |                         torch.utils._debug_mode
import time:      1986 |      32578 |                       torch._higher_order_ops.invoke_subgraph
import time:       627 |        627 |                       torch._higher_order_ops.local_map
import time:       604 |        604 |                       torch._higher_order_ops.map
import time:      1521 |       1521 |                       torch._higher_order_ops.out_dtype
import time:       376 |        376 |                       torch._higher_order_ops.run_const_graph
import time:       321 |        321 |                         torch._higher_order_ops.partitioner
import time:       827 |       1147 |                       torch._higher_order_ops.scan
import time:       298 |        298 |                       torch._higher_order_ops.strict_mode
import time:       624 |        624 |                       torch._higher_order_ops.while_loop
import time:      1006 |       1006 |                       torch._higher_order_ops.wrap
import time:       579 |      57116 |                     torch._higher_order_ops
import time:        44 |      57160 |                   torch._higher_order_ops.flat_apply
import time:       606 |      59816 |                 torch._export.wrappers
import time:       537 |        537 |                 torch._export.config
import time:      1227 |      66519 |               torch._export
import time:        71 |      66589 |             torch._export.utils
import time:      1217 |      67806 |           torch.export.decomp_utils
import time:       691 |        691 |               torch._export.verifier
import time:      1839 |       2530 |             torch.export.exported_program
import time:      3033 |       5562 |           torch.export.dynamic_shapes
import time:       193 |        193 |             torch.export._remove_effect_tokens_pass
import time:      2092 |       2285 |           torch.export.unflatten
import time:       487 |     126726 |         torch.export
import time:       115 |        115 |           torch._functorch.batch_norm_replacement
import time:       584 |        584 |             torch.fx.experimental.const_fold
import time:       726 |       1309 |           torch._functorch.eager_transforms
import time:       389 |        389 |           torch._functorch.functional_call
import time:       206 |       2018 |         torch.func
import time:       603 |        603 |         torch.distributed._meta_registrations
import time:       296 |        296 |                   torch.utils._content_store
import time:       369 |        665 |                 torch._prims.debug_prims
import time:       891 |        891 |                 torch._prims.rng_prims
import time:      4075 |       4075 |                 torch._prims_common.wrappers
import time:    138059 |     143689 |               torch._prims
import time:     37418 |     181107 |             torch._decomp.decompositions
import time:       313 |        313 |               torch.testing._internal.common_dtype
import time:       845 |        845 |               torch._refs._conversions
import time:      6730 |       6730 |               torch._refs.fft
import time:      1347 |       1347 |               torch._refs.linalg
import time:       141 |        141 |                 torch._refs.nn
import time:      6025 |       6166 |               torch._refs.nn.functional
import time:      3071 |       3071 |               torch._refs.special
import time:     41425 |      59893 |             torch._refs
import time:       505 |     241504 |           torch._decomp
import time:     88465 |     329968 |         torch._meta_registrations
import time:      1089 |       1089 |           torch.compiler.config
import time:       456 |        456 |             torch.utils._appending_byte_serializer
import time:      1595 |       2050 |           torch.compiler._cache
import time:       582 |       3720 |         torch.compiler
import time:       120 |        120 |             torch._native.common_utils
import time:      1224 |       1224 |               torch._native.registry
import time:       384 |       1607 |             torch._native.dsl_registry
import time:       405 |       2131 |           torch._native.cutedsl_utils
import time:       162 |        162 |           torch._native.ops
import time:       240 |        240 |           torch._native.triton_utils
import time:       390 |       2921 |         torch._native
import time:    112054 |    1791983 |       torch
import time:       382 |        382 |             modulefinder
import time:       332 |        332 |               torchvision._internally_replaced_utils
import time:      2710 |       3042 |             torchvision.extension
import time:      9978 |       9978 |             torchvision._autograd_registrations
import time:      3390 |       3390 |             torchvision._meta_registrations
import time:       259 |        259 |                   PIL._version
import time:       297 |        556 |                 PIL
import time:      3780 |       3780 |                   PIL.ExifTags
import time:       824 |        824 |                   PIL.ImageMode
import time:      1439 |       1439 |                   PIL.TiffTags
import time:       246 |        246 |                   PIL._binary
import time:       172 |        172 |                   PIL._deprecate
import time:       168 |        168 |                   PIL._util
import time:        78 |         78 |                   defusedxml
import time:      1126 |       1126 |                   PIL._imaging
import time:      3124 |      10953 |                 PIL.Image
import time:        92 |         92 |                           pytorch
import time:        24 |        116 |                         pytorch.vision
import time:        14 |        129 |                       pytorch.vision.fb
import time:        20 |        149 |                     pytorch.vision.fb.io
import time:       239 |        239 |                         PIL.ImageColor
import time:       275 |        275 |                               PIL._typing
import time:       941 |        941 |                               PIL._imagingft
import time:       643 |       1858 |                             PIL.ImageFont
import time:       533 |       2391 |                           PIL.ImageText
import time:       348 |       2738 |                         PIL.ImageDraw
import time:       749 |       3725 |                       torchvision.utils
import time:      2870 |       6594 |                     torchvision.io.image
import time:       229 |       6970 |                   torchvision.io
import time:        43 |       7013 |                 torchvision.io.image
import time:       288 |        288 |                   torchvision.datasets.vision
import time:       530 |        818 |                 torchvision.datasets.folder
import time:       107 |        107 |                   torch.utils.model_zoo
import time:       474 |        580 |                 torchvision.datasets.utils
import time:       682 |      20599 |               torchvision.datasets._optical_flow
import time:      1212 |       1212 |               torchvision.datasets._stereo_matching
import time:       318 |        318 |               torchvision.datasets.caltech
import time:        79 |         79 |                   _csv
import time:       480 |        558 |                 csv
import time:       453 |       1010 |               torchvision.datasets.celeba
import time:       354 |        354 |               torchvision.datasets.cifar
import time:      1018 |       1018 |               torchvision.datasets.cityscapes
import time:       355 |        355 |               torchvision.datasets.clevr
import time:       271 |        271 |               torchvision.datasets.coco
import time:       166 |        166 |               torchvision.datasets.country211
import time:       238 |        238 |               torchvision.datasets.dtd
import time:       193 |        193 |               torchvision.datasets.eurosat
import time:        80 |         80 |                     accimage
import time:        89 |         89 |                       accimage
import time:       528 |        528 |                           PIL.ImageFilter
import time:       232 |        232 |                           PIL.ImageStat
import time:      3689 |       4448 |                         PIL.ImageEnhance
import time:       189 |        189 |                             PIL.GimpGradientFile
import time:       183 |        183 |                             PIL.GimpPaletteFile
import time:       251 |        251 |                             PIL.PaletteFile
import time:       370 |        991 |                           PIL.ImagePalette
import time:       610 |       1601 |                         PIL.ImageOps
import time:       245 |        245 |                         accimage
import time:       747 |       7039 |                       torchvision.transforms._functional_pil
import time:       726 |        726 |                       torchvision.transforms._functional_tensor
import time:       697 |       8550 |                     torchvision.transforms.functional
import time:      1137 |       9766 |                   torchvision.transforms.transforms
import time:       509 |        509 |                   torchvision.transforms.autoaugment
import time:       147 |      10421 |                 torchvision.transforms
import time:       240 |      10660 |               torchvision.datasets.fakedata
import time:       214 |        214 |               torchvision.datasets.fer2013
import time:       206 |        206 |               torchvision.datasets.fgvc_aircraft
import time:      1375 |       1375 |                     html.entities
import time:     56623 |      57997 |                   html
import time:       692 |        692 |                   _markupbase
import time:      1799 |      60487 |                 html.parser
import time:       297 |      60783 |               torchvision.datasets.flickr
import time:       235 |        235 |               torchvision.datasets.flowers102
import time:       182 |        182 |               torchvision.datasets.food101
import time:       162 |        162 |               torchvision.datasets.gtsrb
import time:       345 |        345 |                 torchvision.datasets.video_utils
import time:       245 |        589 |               torchvision.datasets.hmdb51
import time:       268 |        268 |               torchvision.datasets.imagenet
import time:       211 |        211 |               torchvision.datasets.imagenette
import time:       257 |        257 |               torchvision.datasets.inaturalist
import time:       443 |        443 |               torchvision.datasets.kinetics
import time:       315 |        315 |               torchvision.datasets.kitti
import time:       404 |        404 |               torchvision.datasets.lfw
import time:       325 |        325 |               torchvision.datasets.lsun
import time:       558 |        558 |               torchvision.datasets.mnist
import time:       194 |        194 |               torchvision.datasets.moving_mnist
import time:       191 |        191 |               torchvision.datasets.omniglot
import time:       246 |        246 |               torchvision.datasets.oxford_iiit_pet
import time:       220 |        220 |               torchvision.datasets.pcam
import time:       238 |        238 |               torchvision.datasets.phototour
import time:       243 |        243 |               torchvision.datasets.places365
import time:       216 |        216 |               torchvision.datasets.rendered_sst2
import time:       262 |        262 |               torchvision.datasets.sbd
import time:       205 |        205 |               torchvision.datasets.sbu
import time:       193 |        193 |               torchvision.datasets.semeion
import time:       478 |        478 |               torchvision.datasets.stanford_cars
import time:       220 |        220 |               torchvision.datasets.stl10
import time:       166 |        166 |               torchvision.datasets.sun397
import time:       177 |        177 |               torchvision.datasets.svhn
import time:       207 |        207 |               torchvision.datasets.ucf101
import time:       182 |        182 |               torchvision.datasets.usps
import time:       145 |        145 |                     xml
import time:       177 |        322 |                   xml.etree
import time:       635 |        635 |                   xml.etree.ElementPath
import time:       225 |        225 |                     pyexpat
import time:       165 |        390 |                   _elementtree
import time:      1517 |       2861 |                 xml.etree.ElementTree
import time:        84 |         84 |                   defusedxml
import time:        29 |        113 |                 defusedxml.ElementTree
import time:       313 |       3286 |               torchvision.datasets.voc
import time:       247 |        247 |               torchvision.datasets.widerface
import time:      1101 |     109793 |             torchvision.datasets
import time:       278 |        278 |                 torchvision.transforms._presets
import time:      1189 |       1189 |                 torchvision.models._api
import time:       475 |        475 |                 torchvision.models._meta
import time:       235 |        235 |                   torchvision._utils
import time:       434 |        669 |                 torchvision.models._utils
import time:       574 |       3183 |               torchvision.models.alexnet
import time:       548 |        548 |                         torch.onnx.errors
import time:       110 |        110 |                             torch.onnx.ops._dtype_mappings
import time:      7639 |       7749 |                           torch.onnx.ops._impl
import time:      6492 |       6492 |                           torch.onnx.ops._symbolic_impl
import time:       335 |      14575 |                         torch.onnx.ops
import time:       182 |        182 |                             torch.onnx._internal
import time:       181 |        362 |                           torch.onnx._internal.exporter
import time:       229 |        591 |                         torch.onnx._internal.exporter._exportable_module
import time:       148 |        148 |                             torch.onnx._internal._lazy_import
import time:       229 |        229 |                             torch.onnx._internal.exporter._dynamic_shapes
import time:        86 |         86 |                               torch.onnx._internal.exporter._constants
import time:       216 |        301 |                             torch.onnx._internal.exporter._ir_passes
import time:       384 |       1062 |                           torch.onnx._internal.exporter._onnx_program
import time:       490 |       1551 |                         torch.onnx._internal.exporter._input_observer
import time:       109 |        109 |                         torch.onnx._internal.torchscript_exporter
import time:       120 |        120 |                           torch.onnx._constants
import time:       665 |        665 |                           torch.onnx._internal.torchscript_exporter._type_utils
import time:       450 |        450 |                             torch.onnx._internal.torchscript_exporter.registration
import time:       499 |        499 |                             torch.onnx._internal.torchscript_exporter._globals
import time:      1155 |       2103 |                           torch.onnx._internal.torchscript_exporter.jit_utils
import time:       235 |        235 |                             torch.onnx._internal.torchscript_exporter.onnx_proto_utils
import time:       713 |        947 |                           torch.onnx._internal.torchscript_exporter.utils
import time:      1190 |       5023 |                         torch.onnx._internal.torchscript_exporter.symbolic_helper
import time:      4461 |       4461 |                           torch.onnx._internal.torchscript_exporter.symbolic_opset9
import time:      1063 |       5524 |                         torch.onnx._internal.torchscript_exporter.symbolic_opset10
import time:       341 |      28257 |                       torch.onnx
import time:      1104 |       1104 |                         torch.onnx._internal.torchscript_exporter.symbolic_opset11
import time:       278 |       1382 |                       torch.onnx.symbolic_opset11
import time:       190 |        190 |                       torch.onnx.symbolic_helper
import time:       259 |      30087 |                     torchvision.ops._register_onnx_ops
import time:       197 |        197 |                       torchvision.ops._box_convert
import time:       246 |        246 |                       torchvision.ops._utils
import time:       410 |        852 |                     torchvision.ops.boxes
import time:       131 |        131 |                       torchvision.ops.diou_loss
import time:       160 |        291 |                     torchvision.ops.ciou_loss
import time:       453 |        453 |                     torchvision.ops.deform_conv
import time:       320 |        320 |                     torchvision.ops.drop_block
import time:       610 |        610 |                       torchvision.ops.misc
import time:       370 |        979 |                     torchvision.ops.feature_pyramid_network
import time:       151 |        151 |                     torchvision.ops.focal_loss
import time:       207 |        207 |                     torchvision.ops.giou_loss
import time:       285 |        285 |                                   _lsprof
import time:       455 |        455 |                                   profile
import time:       357 |       1096 |                                 cProfile
